,id,latitude,longitude,price,area,floor,floors_total,link,address_clean
309,320260936,55.859317,37.551151,470000,87.3,1,32,https://www.cian.ru/rent/commercial/320260936/,"Москва, САО, р-н Западное Дегунино, м. Верхние Лихоборы, Ильменский проезд, 2"
310,323032379,55.762535,37.649166,55000,15.0,1,5,https://www.cian.ru/rent/commercial/323032379/,"Москва, ЦАО, р-н Басманный, м. Красные ворота, улица Машкова, 2/13С1"
311,323084225,55.663517,37.516476,130000,28.0,1,14,https://www.cian.ru/rent/commercial/323084225/,"Москва, ЮЗАО, р-н Обручевский, м. Новаторская, Ленинский проспект, 105к2"
312,288799505,55.764496,37.6312,350000,120.0,1,6,https://www.cian.ru/rent/commercial/288799505/,"Москва, ЦАО, р-н Красносельский, м. Тургеневская, улица Малая Лубянка, 16"
313,322601854,55.738399,37.629691,799999,171.2,1,14,https://www.cian.ru/rent/commercial/322601854/,"Москва, ЦАО, р-н Замоскворечье, м. Новокузнецкая, Новокузнецкая улица, 6"
314,295809070,55.606431,37.474839,2000,126.4,1,13,https://www.cian.ru/rent/commercial/295809070/,"Москва, НАО (Новомосковский), м. Корниловская, шоссе Новомихайловское, 1к3"
315,323167087,55.77633,37.640551,432000,162.0,1,16,https://www.cian.ru/rent/commercial/323167087/,"Москва, ЦАО, р-н Красносельский, м. Проспект Мира, Грохольский переулок, 30К1"
316,323383805,55.686726,37.574974,5200,168.0,1,2,https://www.cian.ru/rent/commercial/323383805/,"Москва, ЮЗАО, р-н Академический, м. Академическая, улица Дмитрия Ульянова, 24С1"
317,323345540,55.762535,37.649166,45000,12.5,1,5,https://www.cian.ru/rent/commercial/323345540/,"Москва, ЦАО, р-н Басманный, м. Красные ворота, улица Машкова, 2/13С1"
318,319883347,55.823677,37.433921,200000,39.7,1,19,https://www.cian.ru/rent/commercial/319883347/,"Москва, СЗАО, р-н Покровское-Стрешнево, м. Тушинская, улица Николая Озерова, 2к1"
319,293740306,55.696067,37.613314,130000,50.0,1,16,https://www.cian.ru/rent/commercial/293740306/,"Москва, ЮАО, р-н Донской, м. Крымская, Загородное шоссе, 5К4"
